City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",11834km,11834,406.98ms,406.98,29.15%,29.15,406.77ms,406.77,407.57ms,407.57,0.41ms,0.41,2018-11-10 12:21:30
"Albany United States, North America",8431km,8431,206.13ms,206.13,40.93%,40.93,141.29ms,141.29,291.37ms,291.37,37.81ms,37.81,2018-11-10 12:21:30
"Alblasserdam Netherlands, Eurasia",11987km,11987,215.31ms,215.31,55.75%,55.75,215.16ms,215.16,217.26ms,217.26,0.70ms,0.7,2018-11-10 12:21:30
"Albuquerque United States, North America",8414km,8414,196.02ms,196.02,42.93%,42.93,191.64ms,191.64,242.49ms,242.49,10.41ms,10.41,2018-11-10 12:21:30
"Algiers Algeria, Africa",10955km,10955,241.46ms,241.46,45.46%,45.46,241.08ms,241.08,242.41ms,242.41,0.71ms,0.71,2018-11-10 12:21:30
"Amsterdam Netherlands, Eurasia",12014km,12014,216.66ms,216.66,55.62%,55.62,216.51ms,216.51,216.89ms,216.89,0.51ms,0.51,2018-11-10 12:21:30
"Anchorage United States, North America",12607km,12607,226.91ms,226.91,55.78%,55.78,226.59ms,226.59,229.00ms,229.0,0.78ms,0.78,2018-11-10 12:21:30
"Ankara Turkey, Eurasia",13420km,13420,277.54ms,277.54,48.45%,48.45,277.18ms,277.18,280.45ms,280.45,0.67ms,0.67,2018-11-10 12:21:30
"Antwerp Belgium, Eurasia",11934km,11934,228.12ms,228.12,52.34%,52.34,228.01ms,228.01,228.36ms,228.36,0.43ms,0.43,2018-11-10 12:21:30
"Arezzo Italy, Eurasia",11987km,11987,242.66ms,242.66,49.53%,49.53,242.50ms,242.5,242.99ms,242.99,0.24ms,0.24,2018-11-10 12:21:30
"Asheville United States, North America",7719km,7719,145.94ms,145.94,53.23%,53.23,145.82ms,145.82,146.54ms,146.54,0.47ms,0.47,2018-11-10 12:21:30
"Athens Greece, Eurasia",12604km,12604,265.64ms,265.64,47.56%,47.56,265.44ms,265.44,266.60ms,266.6,0.69ms,0.69,2018-11-10 12:21:30
"Atlanta United States, North America",7548km,7548,155.51ms,155.51,48.70%,48.7,155.24ms,155.24,158.64ms,158.64,0.72ms,0.72,2018-11-10 12:21:30
"Auckland New Zealand, Oceania",9647km,9647,362.90ms,362.9,26.65%,26.65,362.66ms,362.66,364.68ms,364.68,0.78ms,0.78,2018-11-10 12:21:30
"Austin United States, North America",7559km,7559,184.49ms,184.49,41.08%,41.08,172.91ms,172.91,237.65ms,237.65,14.12ms,14.12,2018-11-10 12:21:30
"Baltimore United States, North America",8060km,8060,125.47ms,125.47,64.48%,64.48,125.00ms,125.0,127.58ms,127.58,0.80ms,0.8,2018-11-10 12:21:30
"Bangalore India, Eurasia",16177km,16177,378.06ms,378.06,42.80%,42.8,377.88ms,377.88,379.96ms,379.96,0.87ms,0.87,2018-11-10 12:21:30
"Bangkok Thailand, Eurasia",17728km,17728,412.78ms,412.78,43.03%,43.03,404.77ms,404.77,508.42ms,508.42,19.97ms,19.97,2018-11-10 12:21:30
"Barcelona Spain, Eurasia",11189km,11189,237.41ms,237.41,47.21%,47.21,237.09ms,237.09,237.81ms,237.81,0.46ms,0.46,2018-11-10 12:21:30
"Basel Switzerland, Eurasia",11922km,11922,232.77ms,232.77,51.39%,51.39,232.66ms,232.66,233.04ms,233.04,0.55ms,0.55,2018-11-10 12:21:30
"Belfast United Kingdom, Eurasia",11579km,11579,222.39ms,222.39,52.16%,52.16,222.27ms,222.27,222.58ms,222.58,0.46ms,0.46,2018-11-10 12:21:30
"Bergen Norway, Eurasia",12493km,12493,257.39ms,257.39,48.61%,48.61,256.80ms,256.8,267.18ms,267.18,1.90ms,1.9,2018-11-10 12:21:30
"Berkeley Springs United States, North America",8111km,8111,148.98ms,148.98,54.80%,54.8,148.82ms,148.82,149.29ms,149.29,0.45ms,0.45,2018-11-10 12:21:30
"Bern Switzerland, Eurasia",11878km,11878,235.67ms,235.67,50.54%,50.54,235.55ms,235.55,235.83ms,235.83,0.52ms,0.52,2018-11-10 12:21:30
"Bogota Colombia, South America",4194km,4194,223.98ms,223.98,18.81%,18.81,223.44ms,223.44,232.39ms,232.39,1.61ms,1.61,2018-11-10 12:21:30
"Boston United States, North America",8385km,8385,144.06ms,144.06,58.23%,58.23,143.85ms,143.85,146.44ms,146.44,0.59ms,0.59,2018-11-10 12:21:30
"Brasilia Brazil, South America",3055km,3055,153.48ms,153.48,19.97%,19.97,145.56ms,145.56,307.81ms,307.81,30.70ms,30.7,2018-11-10 12:21:30
"Bratislava Slovakia, Eurasia",12583km,12583,236.91ms,236.91,53.32%,53.32,236.81ms,236.81,236.99ms,236.99,0.59ms,0.59,2018-11-10 12:21:30
"Brisbane Australia, Oceania",11808km,11808,353.75ms,353.75,33.45%,33.45,353.68ms,353.68,353.90ms,353.9,0.83ms,0.83,2018-11-10 12:21:30
"Bristol United Kingdom, Eurasia",11546km,11546,209.79ms,209.79,55.24%,55.24,209.64ms,209.64,210.14ms,210.14,0.11ms,0.11,2018-11-10 12:21:30
"Brno Czech Republic, Eurasia",12598km,12598,255.73ms,255.73,49.40%,49.4,255.60ms,255.6,255.98ms,255.98,0.57ms,0.57,2018-11-10 12:21:30
"Bruges Belgium, Eurasia",11865km,11865,216.71ms,216.71,54.93%,54.93,216.50ms,216.5,217.12ms,217.12,0.35ms,0.35,2018-11-10 12:21:30
"Brunswick United States, North America",8559km,8559,148.65ms,148.65,57.83%,57.83,148.46ms,148.46,149.02ms,149.02,0.36ms,0.36,2018-11-10 12:21:30
"Brussels Belgium, Eurasia",11910km,11910,217.62ms,217.62,54.88%,54.88,217.55ms,217.55,217.78ms,217.78,0.65ms,0.65,2018-11-10 12:21:30
"Bucharest Romania, Eurasia",13064km,13064,257.46ms,257.46,50.83%,50.83,257.34ms,257.34,257.56ms,257.56,0.06ms,0.06,2018-11-10 12:21:30
"Budapest Hungary, Eurasia",12686km,12686,257.15ms,257.15,49.36%,49.36,256.62ms,256.62,257.72ms,257.72,0.42ms,0.42,2018-11-10 12:21:30
"Buenos Aires Argentina, South America",1227km,1227,133.73ms,133.73,9.23%,9.23,128.79ms,128.79,157.39ms,157.39,6.59ms,6.59,2018-11-10 12:21:30
"Buffalo United States, North America",8477km,8477,145.62ms,145.62,58.46%,58.46,143.30ms,143.3,155.89ms,155.89,3.39ms,3.39,2018-11-10 12:21:30
"Bursa Turkey, Eurasia",13124km,13124,279.67ms,279.67,47.04%,47.04,279.47ms,279.47,280.29ms,280.29,0.42ms,0.42,2018-11-10 12:21:30
"Cairo Egypt, Africa",12867km,12867,277.73ms,277.73,46.45%,46.45,264.83ms,264.83,313.31ms,313.31,9.57ms,9.57,2018-11-10 12:21:30
"Calgary Canada, North America",10236km,10236,212.83ms,212.83,48.28%,48.28,211.49ms,211.49,221.02ms,221.02,1.95ms,1.95,2018-11-10 12:21:31
"Canberra Australia, Oceania",11318km,11318,348.42ms,348.42,32.52%,32.52,348.13ms,348.13,349.82ms,349.82,0.79ms,0.79,2018-11-10 12:21:31
"Cape Town South Africa, Africa",8034km,8034,349.27ms,349.27,23.02%,23.02,349.14ms,349.14,349.48ms,349.48,0.44ms,0.44,2018-11-10 12:21:31
"Caracas Venezuela, South America",4864km,4864,209.71ms,209.71,23.27%,23.27,209.02ms,209.02,217.49ms,217.49,1.50ms,1.5,2018-11-10 12:21:31
"Cardiff United Kingdom, Eurasia",11515km,11515,213.25ms,213.25,54.06%,54.06,212.71ms,212.71,214.89ms,214.89,0.55ms,0.55,2018-11-10 12:21:31
"Carlow Ireland, Eurasia",11405km,11405,222.71ms,222.71,51.37%,51.37,222.40ms,222.4,228.35ms,228.35,1.06ms,1.06,2018-11-10 12:21:31
"Charlotte United States, North America",7653km,7653,157.87ms,157.87,48.75%,48.75,157.78ms,157.78,158.15ms,158.15,0.35ms,0.35,2018-11-10 12:21:31
"Cheltenham United Kingdom, Eurasia",11604km,11604,209.57ms,209.57,55.52%,55.52,209.49ms,209.49,209.77ms,209.77,0.27ms,0.27,2018-11-10 12:21:31
"Chennai India, Eurasia",16403km,16403,356.45ms,356.45,46.08%,46.08,356.33ms,356.33,356.78ms,356.78,0.62ms,0.62,2018-11-10 12:21:31
"Chicago United States, North America",8490km,8490,159.02ms,159.02,53.40%,53.4,158.92ms,158.92,159.29ms,159.29,0.24ms,0.24,2018-11-10 12:21:31
"Chisinau Moldova, Eurasia",13365km,13365,256.75ms,256.75,52.21%,52.21,256.37ms,256.37,260.54ms,260.54,0.79ms,0.79,2018-11-10 12:21:31
"Christchurch New Zealand, Oceania",9307km,9307,388.93ms,388.93,23.99%,23.99,388.70ms,388.7,389.29ms,389.29,0.42ms,0.42,2018-11-10 12:21:31
"Cincinnati United States, North America",8134km,8134,147.66ms,147.66,55.33%,55.33,147.53ms,147.53,148.04ms,148.04,0.18ms,0.18,2018-11-10 12:21:31
"Cleveland United States, North America",8371km,8371,165.14ms,165.14,50.73%,50.73,164.96ms,164.96,165.42ms,165.42,0.56ms,0.56,2018-11-10 12:21:31
"Colorado Springs United States, North America",8702km,8702,162.87ms,162.87,53.72%,53.72,162.01ms,162.01,180.50ms,180.5,3.32ms,3.32,2018-11-10 12:21:31
"Columbus United States, North America",8204km,8204,154.18ms,154.18,53.27%,53.27,153.60ms,153.6,161.03ms,161.03,1.50ms,1.5,2018-11-10 12:21:31
"Copenhagen Denmark, Eurasia",12644km,12644,230.57ms,230.57,54.97%,54.97,230.47ms,230.47,230.72ms,230.72,0.54ms,0.54,2018-11-10 12:21:31
"Coventry United Kingdom, Eurasia",11668km,11668,215.66ms,215.66,54.27%,54.27,215.54ms,215.54,216.20ms,216.2,0.47ms,0.47,2018-11-10 12:21:31
"Cromwell United States, North America",8301km,8301,159.04ms,159.04,52.21%,52.21,158.64ms,158.64,161.38ms,161.38,0.51ms,0.51,2018-11-10 12:21:31
"Dagupan Philippines, Eurasia",17784km,17784,363.30ms,363.3,48.99%,48.99,362.35ms,362.35,370.60ms,370.6,1.84ms,1.84,2018-11-10 12:21:31
"Dallas United States, North America",7784km,7784,176.00ms,176.0,44.48%,44.48,175.80ms,175.8,176.44ms,176.44,0.47ms,0.47,2018-11-10 12:21:31
"Dar es Salaam Tanzania, Africa",11498km,11498,346.95ms,346.95,33.23%,33.23,346.59ms,346.59,348.46ms,348.46,0.45ms,0.45,2018-11-10 12:21:31
"Denver United States, North America",8795km,8795,177.13ms,177.13,49.69%,49.69,177.00ms,177.0,177.30ms,177.3,0.29ms,0.29,2018-11-10 12:21:31
"Des Moines United States, North America",8602km,8602,165.11ms,165.11,52.13%,52.13,165.03ms,165.03,165.27ms,165.27,0.06ms,0.06,2018-11-10 12:21:31
"Detroit United States, North America",8464km,8464,155.10ms,155.1,54.61%,54.61,154.92ms,154.92,155.40ms,155.4,0.56ms,0.56,2018-11-10 12:21:31
"Dhaka Bangladesh, Eurasia",17973km,17973,445.96ms,445.96,40.39%,40.39,445.42ms,445.42,447.82ms,447.82,0.94ms,0.94,2018-11-10 12:21:31
"Dronten Netherlands, Eurasia",12086km,12086,220.64ms,220.64,54.94%,54.94,220.20ms,220.2,225.28ms,225.28,1.13ms,1.13,2018-11-10 12:21:31
"Dubai United Arab Emirates, Eurasia",14828km,14828,324.32ms,324.32,45.77%,45.77,324.06ms,324.06,325.89ms,325.89,0.73ms,0.73,2018-11-10 12:21:31
"Dublin Ireland, Eurasia",11476km,11476,239.90ms,239.9,48.02%,48.02,217.53ms,217.53,343.17ms,343.17,33.96ms,33.96,2018-11-10 12:21:31
"Dusseldorf Germany, Eurasia",12078km,12078,227.61ms,227.61,53.21%,53.21,227.42ms,227.42,227.81ms,227.81,0.32ms,0.32,2018-11-10 12:21:31
"Edinburgh United Kingdom, Eurasia",11809km,11809,216.21ms,216.21,54.67%,54.67,216.09ms,216.09,216.50ms,216.5,0.59ms,0.59,2018-11-10 12:21:31
"Edmonton Canada, North America",10457km,10457,214.74ms,214.74,48.86%,48.86,214.57ms,214.57,216.36ms,216.36,0.57ms,0.57,2018-11-10 12:21:31
"Eindhoven Netherlands, Eurasia",12011km,12011,208.45ms,208.45,57.75%,57.75,208.21ms,208.21,208.68ms,208.68,0.11ms,0.11,2018-11-10 12:21:31
"Falkenstein Germany, Eurasia",12383km,12383,226.02ms,226.02,54.79%,54.79,225.90ms,225.9,226.49ms,226.49,0.47ms,0.47,2018-11-10 12:21:31
"Fez Morocco, Africa",10192km,10192,268.67ms,268.67,38.03%,38.03,268.00ms,268.0,272.94ms,272.94,1.06ms,1.06,2018-11-10 12:21:31
"Frankfurt Germany, Eurasia",12133km,12133,219.93ms,219.93,55.40%,55.4,219.50ms,219.5,224.27ms,224.27,1.00ms,1.0,2018-11-10 12:21:31
"Fremont United States, North America",9429km,9429,168.43ms,168.43,56.12%,56.12,168.23ms,168.23,168.70ms,168.7,0.22ms,0.22,2018-11-10 12:21:31
