City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13492km,13492,344.69ms,344.69,39.22%,39.22,344.06ms,344.06,351.90ms,351.9,1.68ms,1.68,2018-11-10 12:21:32
"Albany United States, North America",7880km,7880,175.60ms,175.6,45.03%,45.03,112.84ms,112.84,260.83ms,260.83,38.81ms,38.81,2018-11-10 12:21:32
"Alblasserdam Netherlands, Eurasia",9756km,9756,183.69ms,183.69,53.31%,53.31,183.31ms,183.31,186.13ms,186.13,0.54ms,0.54,2018-11-10 12:21:33
"Albuquerque United States, North America",9080km,9080,171.75ms,171.75,53.10%,53.1,167.31ms,167.31,217.19ms,217.19,10.49ms,10.49,2018-11-10 12:21:33
"Algiers Algeria, Africa",8491km,8491,287.72ms,287.72,29.59%,29.59,286.73ms,286.73,292.39ms,292.39,1.39ms,1.39,2018-11-10 12:21:33
"Amsterdam Netherlands, Eurasia",9792km,9792,217.71ms,217.71,45.12%,45.12,216.61ms,216.61,223.66ms,223.66,1.67ms,1.67,2018-11-10 12:21:33
"Anchorage United States, North America",12995km,12995,200.47ms,200.47,64.97%,64.97,199.69ms,199.69,206.33ms,206.33,1.44ms,1.44,2018-11-10 12:21:33
"Ankara Turkey, Eurasia",10830km,10830,267.01ms,267.01,40.56%,40.56,263.30ms,263.3,339.09ms,339.09,13.69ms,13.69,2018-11-10 12:21:33
"Antwerp Belgium, Eurasia",9694km,9694,223.10ms,223.1,43.47%,43.47,221.86ms,221.86,227.93ms,227.93,1.96ms,1.96,2018-11-10 12:21:33
"Arezzo Italy, Eurasia",9546km,9546,223.04ms,223.04,42.81%,42.81,219.32ms,219.32,294.02ms,294.02,13.27ms,13.27,2018-11-10 12:21:33
"Asheville United States, North America",7587km,7587,130.65ms,130.65,58.36%,58.36,130.49ms,130.49,131.19ms,131.19,0.45ms,0.45,2018-11-10 12:21:33
"Athens Greece, Eurasia",10028km,10028,256.80ms,256.8,39.17%,39.17,254.86ms,254.86,263.02ms,263.02,2.35ms,2.35,2018-11-10 12:21:33
"Atlanta United States, North America",7521km,7521,121.51ms,121.51,62.16%,62.16,120.62ms,120.62,127.68ms,127.68,1.55ms,1.55,2018-11-10 12:21:33
"Auckland New Zealand, Oceania",12025km,12025,408.48ms,408.48,29.47%,29.47,402.99ms,402.99,468.95ms,468.95,13.04ms,13.04,2018-11-10 12:21:33
"Austin United States, North America",8096km,8096,152.23ms,152.23,53.26%,53.26,140.41ms,140.41,172.30ms,172.3,11.07ms,11.07,2018-11-10 12:21:33
"Baltimore United States, North America",7652km,7652,129.07ms,129.07,59.32%,59.32,126.50ms,126.5,167.00ms,167.0,7.34ms,7.34,2018-11-10 12:21:33
"Bangalore India, Eurasia",14049km,14049,327.10ms,327.1,42.96%,42.96,326.81ms,326.81,329.44ms,329.44,0.70ms,0.7,2018-11-10 12:21:33
"Bangkok Thailand, Eurasia",16398km,16398,348.22ms,348.22,47.12%,47.12,342.06ms,342.06,383.87ms,383.87,8.63ms,8.63,2018-11-10 12:21:33
"Barcelona Spain, Eurasia",8799km,8799,240.19ms,240.19,36.66%,36.66,239.44ms,239.44,244.47ms,244.47,1.29ms,1.29,2018-11-10 12:21:33
"Basel Switzerland, Eurasia",9584km,9584,219.71ms,219.71,43.76%,43.76,219.49ms,219.49,221.29ms,221.29,0.64ms,0.64,2018-11-10 12:21:33
"Belfast United Kingdom, Eurasia",9519km,9519,207.63ms,207.63,45.99%,45.99,206.69ms,206.69,212.50ms,212.5,1.50ms,1.5,2018-11-10 12:21:33
"Bergen Norway, Eurasia",10445km,10445,233.88ms,233.88,44.83%,44.83,232.81ms,232.81,239.19ms,239.19,1.70ms,1.7,2018-11-10 12:21:33
"Berkeley Springs United States, North America",7754km,7754,136.89ms,136.89,57.01%,57.01,135.68ms,135.68,143.29ms,143.29,1.75ms,1.75,2018-11-10 12:21:33
"Bern Switzerland, Eurasia",9530km,9530,214.23ms,214.23,44.53%,44.53,213.38ms,213.38,220.51ms,220.51,1.82ms,1.82,2018-11-10 12:21:33
"Bogota Colombia, South America",4319km,4319,170.91ms,170.91,25.41%,25.41,170.08ms,170.08,178.45ms,178.45,1.68ms,1.68,2018-11-10 12:21:33
