City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",16081km,16081,256.45ms,256.45,62.82%,62.82,256.25ms,256.25,258.39ms,258.39,0.71ms,0.71,2018-11-10 12:18:11
"Albany United States, North America",1034km,1034,73.91ms,73.91,14.16%,14.16,17.79ms,17.79,137.66ms,137.66,39.31ms,39.31,2018-11-10 12:18:11
"Alblasserdam Netherlands, Eurasia",6556km,6556,89.77ms,89.77,73.66%,73.66,89.61ms,89.61,90.33ms,90.33,0.31ms,0.31,2018-11-10 12:18:11
"Albuquerque United States, North America",1913km,1913,42.70ms,42.7,45.55%,45.55,36.15ms,36.15,86.99ms,86.99,12.88ms,12.88,2018-11-10 12:18:11
"Algiers Algeria, Africa",7352km,7352,121.61ms,121.61,60.76%,60.76,121.01ms,121.01,123.92ms,123.92,0.71ms,0.71,2018-11-10 12:18:11
"Amsterdam Netherlands, Eurasia",6535km,6535,98.32ms,98.32,66.68%,66.68,98.08ms,98.08,99.70ms,99.7,0.54ms,0.54,2018-11-10 12:18:11
"Anchorage United States, North America",4678km,4678,85.74ms,85.74,55.04%,55.04,85.56ms,85.56,86.10ms,86.1,0.18ms,0.18,2018-11-10 12:18:11
"Ankara Turkey, Eurasia",9062km,9062,153.52ms,153.52,59.23%,59.23,152.92ms,152.92,158.76ms,158.76,1.38ms,1.38,2018-11-10 12:18:11
"Antwerp Belgium, Eurasia",6576km,6576,108.15ms,108.15,60.89%,60.89,107.25ms,107.25,120.95ms,120.95,2.70ms,2.7,2018-11-10 12:18:11
"Arezzo Italy, Eurasia",7519km,7519,119.36ms,119.36,63.18%,63.18,119.22ms,119.22,119.90ms,119.9,0.33ms,0.33,2018-11-10 12:18:11
"Asheville United States, North America",748km,748,32.85ms,32.85,23.38%,23.38,32.72ms,32.72,33.21ms,33.21,0.27ms,0.27,2018-11-10 12:18:11
"Athens Greece, Eurasia",8674km,8674,149.53ms,149.53,58.21%,58.21,149.27ms,149.27,154.22ms,154.22,0.94ms,0.94,2018-11-10 12:18:11
"Atlanta United States, North America",897km,897,20.98ms,20.98,44.85%,44.85,20.76ms,20.76,23.39ms,23.39,0.48ms,0.48,2018-11-10 12:18:11
"Auckland New Zealand, Oceania",13290km,13290,218.06ms,218.06,60.96%,60.96,217.59ms,217.59,226.62ms,226.62,1.75ms,1.75,2018-11-10 12:18:11
