City,Distance,hidden,Average,hidden.1,% of SOLf/o,hidden.2,min,hidden.3,max,hidden.4,mdev,hidden.5,Last Checked
"Adelaide Australia, Oceania",13429km,13429,197.66ms,197.66,68.17%,68.17,197.34ms,197.34,198.06ms,198.06,0.54ms,0.54,2018-11-10 12:19:23
"Albany United States, North America",3810km,3810,133.14ms,133.14,28.65%,28.65,65.28ms,65.28,217.68ms,217.68,39.68ms,39.68,2018-11-10 12:19:23
"Alblasserdam Netherlands, Eurasia",7738km,7738,140.27ms,140.27,55.27%,55.27,139.97ms,139.97,142.61ms,142.61,0.54ms,0.54,2018-11-10 12:19:23
"Albuquerque United States, North America",2070km,2070,46.83ms,46.83,45.00%,45.0,40.90ms,40.9,98.64ms,98.64,14.95ms,14.95,2018-11-10 12:19:23
"Algiers Algeria, Africa",9085km,9085,184.39ms,184.39,49.38%,49.38,183.96ms,183.96,184.77ms,184.77,0.31ms,0.31,2018-11-10 12:19:23
"Amsterdam Netherlands, Eurasia",7699km,7699,147.44ms,147.44,52.37%,52.37,146.25ms,146.25,175.20ms,175.2,5.18ms,5.18,2018-11-10 12:19:24
"Anchorage United States, North America",2132km,2132,36.91ms,36.91,59.22%,59.22,36.52ms,36.52,37.61ms,37.61,0.33ms,0.33,2018-11-10 12:19:24
"Ankara Turkey, Eurasia",9824km,9824,204.00ms,204.0,48.39%,48.39,203.53ms,203.53,205.98ms,205.98,0.41ms,0.41,2018-11-10 12:19:24
"Antwerp Belgium, Eurasia",7788km,7788,161.91ms,161.91,48.37%,48.37,161.72ms,161.72,162.19ms,162.19,0.39ms,0.39,2018-11-10 12:19:24
"Arezzo Italy, Eurasia",8815km,8815,173.54ms,173.54,50.95%,50.95,173.08ms,173.08,176.77ms,176.77,0.61ms,0.61,2018-11-10 12:19:24
"Asheville United States, North America",3604km,3604,76.52ms,76.52,47.42%,47.42,76.23ms,76.23,76.80ms,76.8,0.40ms,0.4,2018-11-10 12:19:24
"Athens Greece, Eurasia",9785km,9785,209.12ms,209.12,46.82%,46.82,208.72ms,208.72,210.00ms,210.0,0.32ms,0.32,2018-11-10 12:19:24
"Atlanta United States, North America",3603km,3603,78.05ms,78.05,46.19%,46.19,77.61ms,77.61,84.46ms,84.46,1.26ms,1.26,2018-11-10 12:19:24
"Auckland New Zealand, Oceania",11359km,11359,186.25ms,186.25,61.07%,61.07,186.01ms,186.01,187.80ms,187.8,0.50ms,0.5,2018-11-10 12:19:24
"Austin United States, North America",3000km,3000,56.44ms,56.44,53.57%,53.57,48.78ms,48.78,82.10ms,82.1,9.75ms,9.75,2018-11-10 12:19:24
"Baltimore United States, North America",3799km,3799,74.52ms,74.52,51.34%,51.34,73.82ms,73.82,79.86ms,79.86,1.08ms,1.08,2018-11-10 12:19:24
"Bangalore India, Eurasia",12807km,12807,292.22ms,292.22,43.86%,43.86,292.04ms,292.04,292.46ms,292.46,0.29ms,0.29,2018-11-10 12:19:24
"Bangkok Thailand, Eurasia",11813km,11813,241.59ms,241.59,49.02%,49.02,238.97ms,238.97,288.20ms,288.2,8.78ms,8.78,2018-11-10 12:19:24
"Barcelona Spain, Eurasia",8610km,8610,196.09ms,196.09,43.93%,43.93,195.85ms,195.85,196.44ms,196.44,0.63ms,0.63,2018-11-10 12:19:24
